V1 V2
BMI 0.108760240785534
ftnd_3level -0.0480908049002178
T8_PanAgeOC -0.0194928129372145
J37_DRECT_1 -0.122100538962582
Q8_ThghtAgeRC -0.0291684026538547
A8c1_ReligALC_5 0.0743794528567592
A4_AGE 0.399781668390603
Gambling_1 0.0376931838036232
O1D_EvAnx_5 0.0909523665317446
I31_JobLate_1 0.00237994959477828
N12B_HrmPurpAgeRC 0.0983135752278264
J38TALABxTotal 0.0546578620642221
N2B_SuicTryAgeOC -0.0968537547146634
A14c_CHILDREN 0.100703805938773
A17b_HHInc 0.0347264071259027
B2_HealthBWL_1 0.0135842748329878
I32B_UnemplDrg_1 0.112432380724718
I14_StealFam_1 -0.0711688991479837
I42_BlameOth_1 -0.226331846663585
M11B_ADHDAgeRC 0.0160772238966852
U4_GamObj_1 0.00577934003867033
L15_PsyExpAgeOC 0.0341791405897669
A16_JobMM 0.0790778113804154
B2_HealthBWL_2 -0.108492717738913
B10A_OthMedDr_5 -0.0363819986797584
A3b_WgtAge 0.016960233762448
A13b_SepAgeRC 0.0275936343091425
J36A_EpisodeAgeRC 0.0425238026843222
I43_BehaveAgeRC 0.0295254714185413
AlcDep_2 0.0333301513708215
B3_15_STD 0.0098405849965412
Z1A_MainCrTkr_3 -0.15724137970977
B9_Inpn -0.0250746619645499
I32B_UnemplDrg_5 -0.227346208204436
A17_JobNow_1 -0.296822524863072
N1D_SuicAgeOC -0.0191833573496786
U9A_1_LieSpouse_1 0.0806962089696503
othdep_1 -0.0319285521476096
B3_14_HIV_5 0.382479661351055
A2_HtINTotal -0.0726411338068623
I14F_ForgeAft15_5 0.0582406910756611
I29C_Convict_5 -0.0812403030164518
Z5A_SubstHsHld13_5 0.104173580291798
I44C_3_DrvViol -0.0217859350420603
B4A_HospNum 0.100381573795596
